AC_NO,prev_win_cand,prev_win_party,prev_win_votes,prev_win_pct,prev_sec_cand,prev_sec_party,prev_sec_votes,prev_sec_pct,prev_margin
172,Manoj Tiwary,TMC,92372,50.69,Rathin Chakrabarty,BJP,59769,32.8,32603
173,Nandita Chowdhury,TMC,116839,53.85,Rantidev Sengupta,BJP,66270,30.55,50569
174,Priya Paul,TMC,111888,50.37,Prabhakar Pandit,BJP,71461,32.17,40427
175,Gulsan Mullick,TMC,104572,48.19,Mohit Lal Ghanti,BJP,71821,33.1,32751
176,Bidesh Ranjan Bose,TMC,86526,44.83,Pratyush Mandal,BJP,69400,35.95,17126
177,Nirmal Maji,TMC,91501,49.25,Chiran Bera,BJP,70498,37.95,21003
178,Pulak Roy,TMC,101880,50.37,Papia Dey Adhikary,BJP,73442,36.31,28438
179,Kalipada Mandal,TMC,114804,51.74,Tanusree Chakraborty,BJP,83293,37.54,31511
180,Arunava Sen,TMC,106042,53.04,Anupam Mallik,BJP,75922,37.97,30120
181,Sukanta Kumar Paul,TMC,102445,49.06,Debtanu Bhattacharya,BJP,76240,36.51,26205
182,Samir Kumar Panja,TMC,101510,51.21,Sumit Ranjan Karar,BJP,87512,44.15,13998
183,Sitanath Ghosh,TMC,116562,49.45,Anupam Ghosh,BJP,87366,37.06,29196
184,Kalyan Ghosh,TMC,130499,52.0,Rajib Banerjee,BJP,87879,35.01,42620
185,Kanchan Mullick,TMC,93878,46.96,Prabir Kumar Ghosal,BJP,57889,28.96,35989
186,Sudipto Roy,TMC,93021,49.46,Kabir Shankar Bose,BJP,69588,37.0,23433
187,Arindam Guin,TMC,100972,50.2,Dilip Singh,BJP,70894,35.25,30078
188,Becharam Manna,TMC,101077,48.15,Rabindranath Bhattacharya,BJP,75154,35.8,25923
189,Indranil Sen,TMC,86778,47.63,Dipanjan Guha,BJP,55749,30.6,31029
190,Asit Mazumdar,TMC,117104,45.97,Locket Chatterjee,BJP,98687,38.74,18417
191,Manoranjan Byapari,TMC,100364,45.63,Subhash Chandra Haldar,BJP,94580,43.0,5784
192,Ratna De Nag,TMC,102874,45.99,Partha Sharma,BJP,71016,31.75,31858
193,Tapan Dasgupta,TMC,93328,48.56,Debabrata Biswas,BJP,83556,43.48,9772
194,Swati Khandoker,TMC,103118,49.79,Yash Dasgupta,BJP,61771,29.83,41347
195,Snehasis Chakraborty,TMC,101885,48.42,Debjit Sarkar,BJP,83959,39.9,17926
196,Karabi Manna,TMC,110215,49.92,Samiran Mitra,BJP,87143,39.47,23072
197,Ashima Patra,TMC,124776,53.36,Tushar Kumar Majumdar,BJP,94617,40.46,30159
198,Ramendu Sinharay,TMC,96698,46.96,Swapan Dasgupta,BJP,89214,43.33,7484
199,Biman Ghosh,BJP,119334,53.5,Dilip Yadav,TMC,91156,40.86,28178
200,Madhusudan Bag,BJP,103108,46.88,Sujata Mondal,TMC,95936,43.62,7172
201,Biswanath Karak,BJP,102227,46.56,Manas Majumdar,TMC,98080,44.67,4147
202,Susanta Ghosh,BJP,107403,49.27,Munshi Nazbul Karim,TMC,94519,43.36,12884
203,Soumen Mahapatra,TMC,108243,45.86,Hare Krishna Bera,BJP,107450,45.52,793
204,Biplab Roy Chowdhury,TMC,91213,45.97,Debabrata Pattanayek,BJP,81553,41.11,9660
205,Firoja Bibi,TMC,111705,47.71,Sintu Senapati,BJP,102816,43.91,8889
206,Ashok Dinda,BJP,108109,48.17,Sangram Kumar Dolai,TMC,106849,47.61,1260
207,Sukumar De,TMC,108181,47.6,Nilanjan Adhikary,BJP,102775,45.22,5406
208,Tilak Kumar Chakraborty,TMC,101986,46.49,Biswanath Banerjee,BJP,99600,45.41,2386
209,Tapasi Mondal,BJP,104126,47.15,Swapan Naskar,TMC,89118,40.36,15008
210,Suvendu Adhikari,BJP,110764,48.49,Mamata Banerjee,TMC,108808,47.64,1956
211,Soham Chakraborty,TMC,109770,49.82,Pulak Kanti Guria,BJP,96298,43.71,13472
212,Uttam Barik,TMC,105299,50.42,Ambujaksha Mahanti,BJP,95305,45.64,9994
213,Sumita Sinha,BJP,113524,49.7,Tarun Kumar Jana,TMC,104194,45.62,9330
214,Rabindranath Maity,BJP,121480,54.46,Ardhendu Maity,TMC,93931,42.19,27549
215,Shantanu Pramanik,BJP,110407,51.93,Partha Pratim Das,TMC,92442,43.48,17965
216,Arup Kumar Das,BJP,98477,50.58,Jyotirmoy Kar,TMC,88184,45.3,10293
217,Akhil Giri,TMC,112622,50.72,Swadesh Ranjan Nayak,BJP,100105,45.08,12517
218,Tarun Kumar Maity,TMC,125763,52.22,Arup Das,BJP,107272,44.55,18491
219,Bikram Chandra Pradhan,TMC,94609,48.18,Shaktipada Nayak,BJP,93834,47.79,775
220,Dulal Murmu,TMC,99825,52.52,Bakul Murmu,BJP,77089,40.55,22736
221,Khagendra Nath Mahata,TMC,102710,52.34,Sanjit Mahata,BJP,79106,40.31,23604
222,Birbaha Hansda,TMC,108044,54.34,Sukhamoy Satpathy,BJP,70048,35.23,37996
223,Paresh Murmu,TMC,106366,50.01,Sonali Murmu,BJP,91036,42.8,15330
224,Hiran Chatterjee,BJP,79607,46.45,Pradip Sarkar,TMC,75836,44.25,3771
225,Surja Kanta Atta,TMC,100894,46.33,Ram Prasad Giri,BJP,98478,45.23,2416
226,Manas Bhunia,TMC,112098,47.46,Amulya Maity,BJP,102234,43.28,9864
227,Ajit Maity,TMC,112435,49.17,Antara Bhattacharya,BJP,105779,46.26,6656
228,Dinen Roy,TMC,109727,54.85,Tapan Bhuiya,BJP,73497,36.74,36230
229,Humayun Kabir,TMC,95850,46.79,Bharati Ghosh,BJP,84624,41.31,11226
230,Mamata Bhunia,TMC,114753,51.58,Prashanth Bera,BJP,87911,39.52,26842
231,Shital Kapat,BJP,105812,46.95,Shankar Dolai,TMC,104846,46.52,966
232,Arup Dhara,TMC,121846,48.87,Shibram Das,BJP,110565,44.35,11281
233,Uttara Singha,TMC,94928,45.71,Madan Ruidas,BJP,84356,40.62,10572
234,Srikanta Mahata,TMC,126020,50.57,Rajib Kundu,BJP,93376,37.47,32644
235,Siuli Saha,TMC,116992,50.81,Pritish Ranjan Kuar,BJP,96272,41.82,20720
236,June Malia,TMC,121175,50.72,Shamit Das,BJP,96778,40.51,24397
237,Debnath Hansda,TMC,99786,53.18,Palan Saren,BJP,60213,32.09,39573
238,Rajib Lochan Saren,TMC,112183,47.07,Parsi Murmu,BJP,93298,39.14,18885
239,Baneswar Mahato,BJP,88803,45.17,Shantiram Mahato,TMC,88530,45.03,273
240,Sushanta Mahato,TMC,75245,36.76,Ashutosh Mahato,AJSU,61510,30.05,13735
241,Narahari Mahato,BJP,73713,36.66,Phani Bhushan Kumar,INC,61611,30.64,12102
242,Sudip Kumar Mukherjee,BJP,88899,43.33,Sujoy Banerjee,TMC,82134,40.12,6585
243,Sandhya Rani Tudu,TMC,102169,48.39,Gouri Singh Sardar,BJP,86679,41.05,15490
244,Kamalakanta Hansda,BJP,92061,47.68,Swapan Kumar Beltharia,TMC,84829,43.93,7240
245,Nadiar Chand Bouri,BJP,86930,45.01,Umapada Bauri,TMC,82986,42.96,3944
246,Vivekananda Bauri,BJP,94994,44.59,Bouri Hazari,TMC,89671,42.04,5323
247,Chandana Bauri,BJP,91648,45.28,Santosh Kumar Mondal,TMC,87503,43.23,4145
248,Satyanarayan Mukhopadhyay,BJP,90233,45.84,Subasish Batabyal,TMC,83069,42.2,7164
249,Jyotsna Mandi,TMC,90928,43.06,Kshudiram Tudu,BJP,86989,41.19,3939
250,Mrityunjoy Murmu,TMC,101043,51.96,Sudhanshu Hansda,BJP,81645,41.98,19398
251,Arup Chakraborty,TMC,92026,45.29,Shyamal Kumar Sarkar,BJP,79649,39.2,12377
252,Niladri Sekhar Dana,BJP,95466,43.79,Sayantika Banerjee,TMC,93998,43.12,1468
253,Alok Mukherjee,TMC,93290,42.51,Supriti Chatterjee,BJP,90021,41.02,3269
254,Amarnath Shakha,BJP,104940,46.48,Arup Kumar Khan,TMC,93389,41.37,11551
255,Tanmay Ghosh,BJP,88743,46.79,Archita Bid,TMC,77610,40.92,11133
256,Harakali Protiher,BJP,106022,47.31,Sangeeta Malik,TMC,94237,42.05,11785
257,Nirmal Kumar Dhara,BJP,104936,48.04,Runu Mete,TMC,97716,44.73,7220
258,Dibakar Gharami,BJP,98161,47.25,Shyamal Santra,TMC,87273,42.01,10888
259,Nabin Chandra Bag,TMC,104264,47.85,Bijan Mandal,BJP,83378,38.26,20886
260,Khokan Das,TMC,91015,44.32,Sandip Nandi,BJP,82910,40.38,8105
261,Shampa Dhara,TMC,108752,47.46,Manik Roy,BJP,90547,39.51,18205
262,Alok Kumar Majhi,TMC,96999,46.93,Balaram Bapari,BJP,79028,38.24,17971
263,Siddiqullah Chowdhury,TMC,105460,50.45,Saikat Panja,BJP,73655,35.24,31805
264,Deboprasad Bag,TMC,96073,45.98,Biswajit Kundu,BJP,88595,42.4,7478
265,Madhusudan Bhattacharya,TMC,104851,47.92,Bhismadeb Bhattacharya,BJP,81773,37.37,23078
266,Nisith Kumar Malik,TMC,111211,45.97,Radha Kanta Roy,BJP,93943,38.83,17268
267,Mangobinda Adhikari,TMC,108028,50.44,Mahendranath Kowar,BJP,76287,35.62,31741
268,Swapan Debnath,TMC,105698,49.08,Rajib Kumar Bhowmick,BJP,88288,41.0,17410
269,Tapan Chatterjee,TMC,92421,43.52,Gobardhan Das,BJP,85715,40.37,6706
270,Rabindranath Chatterjee,TMC,107894,48.07,Shyama Majumdar,BJP,98739,43.99,9155
271,Sheikh Shahnawaz,TMC,100226,46.55,Anadi Ghosh,BJP,87543,40.66,12683
272,Apurba Chowdhury,TMC,107596,49.51,Rana Protap Goswami,BJP,85259,39.23,22337
